MESO_,codigo,MES,ANO,PRECIPITACAO
Fora do Estado,1-1,1,98-99,"137,8733"
Fora do Estado,2-1,1,98-99,"126,7572"
Fora do Estado,5-1,1,98-99,"124,9564"
Sertão Pernambucano,6-1,1,98-99,"162,2302"
Fora do Estado,7-1,1,98-99,"177,3308"
Fora do Estado,8-1,1,98-99,"181,9789"
Fora do Estado,9-1,1,98-99,"176,7739"
Fora do Estado,10-1,1,98-99,"164,6913"
Fora do Estado,11-1,1,98-99,"155,7006"
Fora do Estado,12-1,1,98-99,"141,5091"
Fora do Estado,13-1,1,98-99,"121,7345"
Fora do Estado,14-1,1,98-99,"75,4209"
Fora do Estado,15-1,1,98-99,"61,0381"
Sertão Pernambucano,16-1,1,98-99,"50,5879"
Sertão Pernambucano,17-1,1,98-99,"44,3383"
Fora do Estado,18-1,1,98-99,"23,1497"
Fora do Estado,19-1,1,98-99,"15,6500"
Fora do Estado,20-1,1,98-99,"13,2190"
Fora do Estado,21-1,1,98-99,"16,4189"
Fora do Estado,22-1,1,98-99,"31,6131"
Fora do Estado,23-1,1,98-99,"37,3909"
Fora do Estado,24-1,1,98-99,"47,1256"
Fora do Estado,25-1,1,98-99,"57,9078"
Fora do Estado,26-1,1,98-99,"86,0689"
Fora do Estado,1-2,1,98-99,"123,2744"
Sertão Pernambucano,3-2,1,98-99,"104,8308"
Sertão Pernambucano,4-2,1,98-99,"109,4554"
Sertão Pernambucano,5-2,1,98-99,"121,5845"
Sertão Pernambucano,6-2,1,98-99,"157,7399"
Sertão Pernambucano,7-2,1,98-99,"170,6444"
Sertão Pernambucano,8-2,1,98-99,"173,4040"
Fora do Estado,9-2,1,98-99,"167,9831"
Fora do Estado,10-2,1,98-99,"157,5769"
Fora do Estado,11-2,1,98-99,"149,0773"
Fora do Estado,12-2,1,98-99,"134,7899"
Fora do Estado,13-2,1,98-99,"113,0298"
Fora do Estado,14-2,1,98-99,"67,3977"
Sertão Pernambucano,15-2,1,98-99,"52,4277"
Sertão Pernambucano,16-2,1,98-99,"42,3251"
Fora do Estado,17-2,1,98-99,"34,4000"
Fora do Estado,18-2,1,98-99,"18,8497"
Fora do Estado,20-2,1,98-99,"10,9848"
